Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
186,Spectrogram 1,1,44376,44379,0,12000,Black Redstart,blared1,0.4049,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_034002.wav,39
187,Spectrogram 1,1,44400,44403,0,12000,Black Redstart,blared1,0.2217,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_034502.wav,6
188,Spectrogram 1,1,44406,44409,0,12000,Black Redstart,blared1,0.2336,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_034502.wav,12
189,Spectrogram 1,1,44412,44415,0,12000,Black Redstart,blared1,0.1045,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_034502.wav,18
190,Spectrogram 1,1,44415,44418,0,12000,Black Redstart,blared1,0.9483,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_034502.wav,21
191,Spectrogram 1,1,44451,44454,0,12000,Black Redstart,blared1,0.1811,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035002.wav,0
192,Spectrogram 1,1,44517,44520,0,12000,Black Redstart,blared1,0.8697,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035502.wav,9
193,Spectrogram 1,1,44535,44538,0,12000,Black Redstart,blared1,0.8338,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035502.wav,27
194,Spectrogram 1,1,44538,44541,0,12000,Black Redstart,blared1,0.8797,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035502.wav,30
195,Spectrogram 1,1,44547,44550,0,12000,Black Redstart,blared1,0.5288,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035502.wav,39
196,Spectrogram 1,1,44559,44562,0,12000,Black Redstart,blared1,0.1824,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_035502.wav,51
197,Spectrogram 1,1,45024,45027,0,12000,Black Redstart,blared1,0.7319,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,3
198,Spectrogram 1,1,45027,45030,0,12000,Black Redstart,blared1,0.9962,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240621_044002.wav,6
